Teams_host,,Teams_guest,host,guest
WBA,vs,Watford,0,1
C. Palace,vs,Everton,0,0
Liverpool,vs,Stoke,4,1
Spurs,vs,Man Utd,3,0
Sunderland,vs,Leicester,0,2
Man City,vs,WBA,2,1
Swansea,vs,Chelsea,1,0
Watford,vs,Everton,1,1
West Ham,vs,Arsenal,3,3
Man Utd,vs,Everton,1,0
Leicester,vs,S'hampton,1,0
Liverpool,vs,Spurs,1,1
Arsenal,vs,Watford,4,0
B'mouth,vs,Man City,0,4
Stoke,vs,Swansea,2,2
Sunderland,vs,WBA,0,0
West Ham,vs,C. Palace,2,2
Man City,vs,Man Utd,0,1
Spurs,vs,B'mouth,3,0
S'hampton,vs,Liverpool,3,2
Chelsea,vs,West Ham,2,2
C. Palace,vs,Leicester,0,1
Watford,vs,Stoke,1,2
Everton,vs,Arsenal,0,2
B'mouth,vs,Swansea,3,2
Stoke,vs,S'hampton,1,2
WBA,vs,Man Utd,1,0
C. Palace,vs,Liverpool,1,2
Watford,vs,Leicester,0,1
Chelsea,vs,Stoke,1,1
Everton,vs,West Ham,2,3
S'hampton,vs,Sunderland,1,1
Spurs,vs,Arsenal,2,2
Liverpool,vs,Man City,3,0
Man Utd,vs,Watford,1,0
Arsenal,vs,Swansea,1,2
West Ham,vs,Spurs,1,0
B'mouth,vs,S'hampton,2,0
Leicester,vs,WBA,2,2
Sunderland,vs,C. Palace,2,2
Man Utd,vs,Arsenal,3,2
Spurs,vs,Swansea,2,1
WBA,vs,C. Palace,3,2
S'hampton,vs,Chelsea,1,2
Watford,vs,B'mouth,0,0
West Ham,vs,Sunderland,1,0
Man City,vs,Spurs,1,2
Arsenal,vs,Leicester,2,1
B'mouth,vs,Stoke,1,3
C. Palace,vs,Watford,1,2
Everton,vs,WBA,0,1
Swansea,vs,S'hampton,0,1
Sunderland,vs,Man Utd,2,1
Chelsea,vs,Man Utd,1,1
B'mouth,vs,Arsenal,0,2
S'hampton,vs,West Ham,1,0
Liverpool,vs,Sunderland,2,2
Stoke,vs,Everton,0,3
Swansea,vs,C. Palace,1,1
Spurs,vs,Watford,1,0
Man City,vs,Leicester,1,3
Watford,vs,Chelsea,0,0
C. Palace,vs,B'mouth,1,2
Man Utd,vs,Stoke,3,0
WBA,vs,Swansea,1,1
Arsenal,vs,S'hampton,0,0
Leicester,vs,Liverpool,2,0
Sunderland,vs,Man City,0,1
Arsenal,vs,Chelsea,0,1
Everton,vs,Swansea,1,2
